,1. open,2. high,3. low,4. close,5. volume,interval
2018-08-28 10:30:00,362.9000,365.0400,362.3200,364.2500,433031,15
2018-08-31 15:30:00,367.2100,368.6950,367.1100,367.8000,1729162,30
2018-08-31 15:00:00,369.0900,369.7500,367.1900,367.2600,508724,30
2018-08-31 14:30:00,370.1200,370.1500,369.0000,369.0542,398932,30
2018-08-31 14:00:00,371.3340,371.6100,369.8900,370.1359,379609,30
2018-08-31 13:30:00,371.8000,371.9000,370.6900,371.2003,325144,30
2018-08-31 13:00:00,372.7200,373.0500,371.8900,371.9400,268249,30
2018-08-31 12:30:00,372.3958,373.1900,371.6000,372.7500,266175,30
2018-08-31 12:00:00,372.1500,373.2300,370.8500,372.3200,350448,30
2018-08-31 11:30:00,374.0445,374.3500,371.6258,372.1300,424306,30
2018-08-31 11:00:00,375.1000,375.8600,373.4150,373.9340,541301,30
2018-08-31 10:30:00,374.1400,375.2100,373.3589,374.9800,502563,30
2018-08-31 10:00:00,373.0112,375.1300,373.0112,374.0600,814132,30
2018-08-31 09:30:00,370.4900,376.0000,370.4900,372.9700,1339207,30
2018-08-30 15:30:00,370.9000,371.3400,370.5000,371.0900,773664,30
2018-08-30 15:00:00,368.9400,370.7800,367.2100,370.6950,710155,30
2018-08-30 14:30:00,370.9095,372.5200,368.8740,368.8740,572603,30
2018-08-30 14:00:00,373.4800,374.6200,369.6900,371.1100,721446,30
2018-08-30 13:30:00,376.5300,376.8085,372.8387,373.3600,713759,30
2018-08-30 13:00:00,374.8300,376.5900,373.9100,376.5000,902287,30
2018-08-30 12:30:00,373.3700,374.9500,373.2800,374.7731,651250,30
2018-08-30 12:00:00,371.1800,373.8102,371.1000,373.2700,498181,30
2018-08-30 11:30:00,372.2672,372.5653,370.8900,371.2000,527818,30
2018-08-30 11:00:00,372.7500,373.6000,371.0300,372.2700,932104,30
2018-08-30 10:30:00,369.4601,374.8900,369.4338,372.7100,1737318,30
2018-08-30 10:00:00,365.0800,369.5000,365.0800,369.5000,855806,30
2018-08-30 09:30:00,365.2300,367.8354,363.7100,365.1623,1213891,30
2018-08-29 15:30:00,368.1300,368.7800,367.8100,368.0700,698713,30
2018-08-29 15:00:00,368.0000,368.7300,367.7536,368.1305,302832,30
2018-08-29 14:30:00,367.1400,368.1600,366.7500,367.9500,298729,30
2018-08-29 14:00:00,368.4700,368.9300,367.0894,367.1700,277116,30
2018-08-29 13:30:00,367.9900,368.4299,367.7000,368.2756,261897,30
2018-08-29 13:00:00,369.0010,369.4800,367.6382,367.8300,410141,30
2018-08-29 12:30:00,367.5466,369.8400,366.7700,369.2700,582902,30
2018-08-29 12:00:00,366.6000,368.1500,366.5046,367.5800,406137,30
2018-08-29 11:30:00,366.0150,366.6600,365.0201,366.6600,420651,30
2018-08-29 11:00:00,367.1900,367.1900,365.6200,366.1600,435315,30
2018-08-29 10:30:00,365.5900,368.3600,365.5547,367.0500,1014070,30
2018-08-29 10:00:00,364.7086,365.7558,363.0000,365.7400,976831,30
2018-08-29 09:30:00,367.1900,367.5200,363.6601,364.9200,1473162,30
2018-08-28 15:30:00,368.4800,369.9900,367.7600,368.3958,1248799,30
2018-08-28 15:00:00,366.9050,369.1900,366.3306,368.4100,825122,30
2018-08-28 14:30:00,366.5900,367.5099,366.1000,366.9400,515675,30
2018-08-28 14:00:00,365.8600,366.9400,365.6539,366.5404,696231,30
2018-08-28 13:30:00,362.7238,365.8700,362.6000,365.7000,379805,30
2018-08-28 13:00:00,363.3500,363.6100,362.5300,362.8000,191847,30
2018-08-28 12:30:00,363.4000,363.9300,362.8110,363.1800,221975,30
2018-08-28 12:00:00,361.8948,363.8000,361.6900,363.3500,315047,30
2018-08-28 11:30:00,361.3100,362.6900,361.1700,361.9900,193801,30
2018-08-28 11:00:00,363.1300,363.8200,362.4700,363.2569,678629,30
2018-08-28 10:30:00,362.9000,365.0400,362.3200,363.1500,706110,30
2018-08-28 10:00:00,363.4800,364.5496,362.1900,362.9000,806866,30
2018-08-28 09:30:00,367.2150,367.6600,360.5000,363.3302,2038847,30
2018-08-27 15:30:00,363.2200,364.9000,362.4650,364.6000,1125268,30
2018-08-27 15:00:00,364.7100,365.2439,362.3800,363.4600,743048,30
2018-08-27 14:30:00,361.1800,365.0499,360.0000,364.8900,1314766,30
2018-08-27 14:00:00,365.4300,366.3800,361.1000,361.3400,1663132,30
2018-08-27 13:30:00,368.1800,368.6000,365.4300,365.4300,743181,30
2018-08-27 13:00:00,368.6500,369.1000,367.0600,368.1200,528237,30
2018-08-27 12:30:00,368.1300,369.2100,367.6100,368.6300,512216,30
